AUTHOR: Piotr Miszta
CONTACT: miszta.piotr.pm@gmail.com
VERSION: 1.00
[ Sun Jun 11 13:29:13 2023 ] [32m[ DEBUG ][0m/home/piotr/code/server/src/server/server_boot.c:67 - server_param -- THREAD: 140512255723328 --  Setting server params: sin_family: 2 sin_addr.s_addr: 0 sin_port: 36895
[ Sun Jun 11 13:29:13 2023 ] [32m[ DEBUG ][0m/home/piotr/code/server/src/server/server_boot.c:42 - server_socket -- THREAD: 140512255723328 --  Create socket for server
[ Sun Jun 11 13:29:13 2023 ] [32m[ DEBUG ][0m/home/piotr/code/server/src/server/server_boot.c:58 - server_bind -- THREAD: 140512255723328 --  Successful bind server to socket
[ Sun Jun 11 13:29:13 2023 ] [32m[ DEBUG ][0m/home/piotr/code/server/src/server/server_listen.cserver_listen_listen:23 - server_listen_listen -- THREAD: 140512247326272 --  Server listen ...
[ Sun Jun 11 13:29:14 2023 ] [32m[ DEBUG ][0m/home/piotr/code/server/src/server/server_menagmenserver_menagment_start_thread:13 - server_menagment_start_thread -- THREAD: 140512238933568 --  Server menagment thread
[ Sun Jun 11 13:29:15 2023 ] [32m[ DEBUG ][0m/home/piotr/code/server/src/server/server_menagmenserver_menagment_start_thread:13 - server_menagment_start_thread -- THREAD: 140512238933568 --  Server menagment thread
[ Sun Jun 11 13:29:16 2023 ] [32m[ DEBUG ][0m/home/piotr/code/server/src/server/server_menagmenserver_menagment_start_thread:13 - server_menagment_start_thread -- THREAD: 140512238933568 --  Server menagment thread
[ Sun Jun 11 13:29:17 2023 ] [32m[ DEBUG ][0m/home/piotr/code/server/src/server/server_menagmenserver_menagment_start_thread:13 - server_menagment_start_thread -- THREAD: 140512238933568 --  Server menagment thread
[ Sun Jun 11 13:29:17 2023 ] [35m[ INFO ][0m/home/piotr/code/server/src/main.c:37 - sigint_handler -- THREAD: 140512255723328 --  Detected Ctrl-C, closing server, deallcate all memory ...
---------------------------------------------------------

[ Sun Jun 11 13:29:17 2023 ] [35m[ INFO ][0m/home/piotr/code/server/src/server/server_listen.cserver_listen_listen:51 - server_listen_listen -- THREAD: 140512247326272 --  Closing server listen thread
[ Sun Jun 11 13:29:18 2023 ] [32m[ DEBUG ][0m/home/piotr/code/server/src/server/server_menagmenserver_menagment_start_thread:13 - server_menagment_start_thread -- THREAD: 140512238933568 --  Server menagment thread
